id, user_id, name, description
1,97,Morning Motivation,A playlist to kickstart your morning
2,97,Evening Relaxation,Songs to wind down your evening
3,98,Workout Hits,High energy songs for your workout
4,98,Chill Vibes,Relax and unwind with these tunes
5,99,Party Time,Get the party started with these tracks
6,99,Study Session,Focus with these background beats
7,100,Road Trip,Perfect songs for a long drive
8,100,Love Songs,Romantic tunes for a special someone
9,101,Throwback,Nostalgic hits from the past
10,101,Top Hits,The most popular songs right now
11,102,Indie Mix,The best of indie music
12,102,Hip-Hop Beats,Latest and greatest in hip-hop
13,103,Country Classics,Timeless country hits
14,103,Jazz Nights,Smooth jazz for the evening
15,104,Classical Essentials,Essential classical music pieces
16,104,Electronic Grooves,Pumping electronic tracks
17,105,R&B Favorites,Top R&B tracks
18,105,Rock Anthems,Iconic rock songs
19,106,Summer Vibes,Feel-good summer hits
20,106,Metal Mayhem,Heavy metal tracks
21,107,Relax & Unwind,Calming songs for relaxation
22,107,Acoustic Sessions,Stripped down acoustic tracks
23,108,Pop Perfection,Catchy pop tunes
24,108,Reggae Rhythms,Laid-back reggae music
25,109,Blues Legends,Legendary blues tracks
26,109,Alternative Hits,Alternative rock and pop hits
27,110,Workout Mix,Energetic songs to power your workout
28,110,Festival Anthems,Songs you hear at festivals
29,111,Latin Grooves,Popular Latin music
30,111,Folk Favorites,Top folk tracks
31,112,Holiday Cheer,Festive holiday music
32,112,Instrumental Focus,Instrumental songs for concentration
33,113,Punk Rock,High-energy punk rock tracks
34,113,Soul Classics,Classic soul music
35,114,Dance Party,Upbeat dance tracks
36,114,Easy Listening,Relaxed and easy listening songs
37,115,K-Pop Hits,Popular K-Pop tracks
38,115,70s Classics,Hits from the 70s
39,116,80s Hits,Hits from the 80s
40,116,90s Jams,Hits from the 90s
41,117,2000s Favorites,Hits from the 2000s
42,117,Morning Chill,Chill tunes to start your day
43,118,Evening Relaxation,Songs to wind down your evening
44,118,Upbeat Pop,Feel-good pop music
45,119,Smooth R&B,Smooth R&B tracks
46,119,Live Performances,Great live music performances
47,120,Indie Pop,Best of indie pop
48,120,Morning Motivation,A playlist to kickstart your morning
49,121,Evening Relaxation,Songs to wind down your evening
50,121,Workout Hits,High energy songs for your workout
51,122,Chill Vibes,Relax and unwind with these tunes
52,122,Party Time,Get the party started with these tracks
53,123,Study Session,Focus with these background beats
54,123,Road Trip,Perfect songs for a long drive
55,124,Love Songs,Romantic tunes for a special someone
56,124,Throwback,Nostalgic hits from the past
57,125,Top Hits,The most popular songs right now
58,125,Indie Mix,The best of indie music
59,126,Hip-Hop Beats,Latest and greatest in hip-hop
60,126,Country Classics,Timeless country hits
61,127,Jazz Nights,Smooth jazz for the evening
62,127,Classical Essentials,Essential classical music pieces
63,127,Electronic Grooves,Pumping electronic tracks
64,128,R&B Favorites,Top R&B tracks
65,128,Rock Anthems,Iconic rock songs
66,128,Summer Vibes,Feel-good summer hits
67,129,Metal Mayhem,Heavy metal tracks
68,129,Relax & Unwind,Calming songs for relaxation
69,129,Acoustic Sessions,Stripped down acoustic tracks
70,130,Pop Perfection,Catchy pop tunes
71,130,Reggae Rhythms,Laid-back reggae music
72,130,Blues Legends,Legendary blues tracks
73,131,Alternative Hits,Alternative rock and pop hits
74,131,Workout Mix,Energetic songs to power your workout
75,131,Festival Anthems,Songs you hear at festivals
76,132,Latin Grooves,Popular Latin music
